,address,company,crawl_time,description,elem_id,post_time,salary,title,url,benefits,id,mixture
0,"['275 Nguyen Trai, Thanh Xuan, Ha Noi']",F88,2021-05-30 16:48:35,"['Hỗ trợ xuất báo cáo, cung cấp dữ liệu cho các bộ phận, phòng ban trong công ty.', 'Thực hiện nghiệm thu các phần mềm nghiệp vụ trước khi triển khai lên môi trường Production.', 'Chịu trách nhiệm triển khai phần mềm nghiệp vụ.', 'Thực hiện giám sát hệ thống phần mềm, chạy các job/service hàng ngày, khóa ngày, khóa tháng, khóa năm.', 'Xử lý các sự cố liên quan đến phần mềm nghiệp vụ được phân công phụ trách.', 'Xây dựng tài liệu quản trị vận hành các ứng dụng được phân công.', 'Thực hiện các công việc/nhiệm vụ khác theo yêu cầu của Trưởng phòng, Trưởng nhóm.', 'Cao đẳng / Đại học chuyên ngành CNTT hoặc các chuyên ngành liên quan khác', 'Ít nhất 2 năm kinh nghiệm ở vị trí tương đương', 'Am hiểu về các giải pháp và cơ chế kiểm soát các phần mềm nghiệp vụ', 'Có kiến thức về cơ sở dữ liệu : Microsoft SQL, MySQL, Oracle, Mongo DB, MariaDB, AWS Aurora. Có khả năng tối ưu hiệu suất về CSDL.', 'Có kiến thức vận hành trên các hệ điều hành', 'Ưu tiên ứng viên đã có kinh nghiệm về vận hành ứng dụng', 'Ưu tiên ứng viên hiểu biết nghiệp vụ tài Chính hoặc đã có kinh nghiệm lập trình ứng dụng.', 'Lương thỏa thuận hấp dẫn + lương KPIs (theo tháng)', 'Thưởng cuối năm + thưởng Lễ/Tết + thưởng sinh nhật + thưởng đột xuất khi hoàn thành tốt nhiệm vụ.', 'BHXH + bảo hiểm chăm sóc sức khỏe cho nhân viên (F88 Care)', 'Cơ hội làm việc tại Công ty Fintech về dịch vụ tài chính với hơn 300 PGD trên 63 Tỉnh/ Thành phố.', 'Được làm việc trong môi trường trẻ năng động, luôn coi Công nghệ thông tin là yếu tố trọng tâm để phát triển', 'Áp dụng mô hình phát triển phần mềm theo Agile, Scrum', 'Môi trường làm việc cởi mở và năng động với các giá trị cốt lõi sâu sắc truyền cảm hứng làm việc đến nhân viên.', 'Khuyến khích trao đổi ý tưởng, đề cao sự sáng tạo trong công việc.', 'Cơ hội tham gia gắn kết với tập thể thông qua các hoạt động văn hóa sôi động: Teambuilding, Tất niên, 8/3, 20/10, Giáng sinh…', 'Thời gian làm việc: Từ 08h30 - 17h30, từ thứ 2 - thứ 6']",job_82457,7 minutes ago,You'll love it,CVC/CVCC Vận hành ứng dụng (Linux/SQL),/it-jobs/cvc-cvcc-van-hanh-ung-dung-linux-sql-f88-4839/content,,0,CVC/CVCC Vận hành ứng dụng (Linux/SQL) F88
1,"['Minh Long Tower, 17 Bà Huyện Thanh Quan, District 3, Ho Chi Minh', 'Peakview Tower, 36 Hoang Cau, Dong Da, Ha Noi']",Teko Vietnam,2021-05-30 16:48:35,"['A product company with strong engineering culture', 'Clear career path for individuals', 'Encourage citizenship and employee engagement', 'You will be part of an agile team, working closely with product managers, UI/UX designers and technical leads to ideate, prototype, build and test new products or features. In short, you take ownership of your work and lead the effort from architecture, implementation, deployment and testing.', 'Writing clean and reusable code with unit / functional tests and continually increasing your code quality.', 'Having lots of discussions, brainstorming with your team to make technical decisions.', 'Reviewing your code with other team members.', 'Identifying bottlenecks and debugging our iOS application, improves performance.', 'Constantly raise your standard, learn new things and share knowledge with the rest of the team. We believe it’s more meaningful when we grow as a team.', 'Partnering with other backend services teams to build products', 'Have good knowledge about computer science, data structures, algorithms.', 'Solid experience in programming languages Swift for iOS and familiar with Test Driven Development; experience in Java/Kotlin for Android or React Native is a big plus.', 'Deep understanding about mobile platforms (iOS/Android), concepts, design and ways to optimize app performance.', 'Experience with designing and building great UI/UX applications is a big plus.', 'Strong knowledge about scripting languages, applying automation into your development pipeline.', 'It’s good to have years of experience but as long as you love to code and learn new things quickly, then you are good.', 'Show us your app on AppStore, Play Store.', 'Knowing how to divide your application into smaller modules for future scalability is a plus. If you have published SDKs, packages contributed to community, it’s great', 'Negotiable salary according to qualification (13th-month salary + performance bonus);', '02 months probation with 100% of Gross salary;', 'The working environment is open, energetic and professional. More opportunities for career promotion;', 'Free Food & Drink: lunch, fresh fruit/cake, coffee&tea;', 'Premium healthcare: full benefit with social insurance, annual health check and attractive Generali healthcare coverage under the company’s own policy;', 'Employee Relationship: company trip, team bonding & sport club;', 'Leave Paid: 12 days for annual leave & 6 days for sick leave (max 18 days)', 'Working time: Monday to Friday (8:30 AM – 5:30 PM).']",job_82484,1 hour ago,You'll love it,Mobile Engineer (iOS),/it-jobs/mobile-engineer-ios-teko-vietnam-1432/content,,1,Mobile Engineer (iOS) Teko Vietnam
2,"['P1004C, tầng 10, Central Point 219 Trung Kính, phường Yên Hoà, quận Cầu Giấy, Hà Nội, Cau Giay, Ha Noi']",GoQuo Vietnam,2021-05-30 16:48:36,"['Thưởng KPI, dự án', 'Review lương 2 lần/ năm, no OT', 'Teambuilding hàng tháng, năm', 'Thu thập thông tin về các yêu cầu từ khách hàng', 'Phân tích và đề xuất các giải pháp để đáp ứng yêu cầu kinh doanh của khách hàng', 'Hoàn thiện hệ thống Document', 'Quản lý các hạng mục còn tồn đọng, lỗi từ sản phẩm', 'Nghiên cứu và phát triển các sản phẩm; cung cấp kế hoạch cải tiến tương ứng', 'Có ít nhất 1 năm kinh nghiệm làm BA tại các công ty phát triển phần mềm', 'Tiếng anh tốt (Nghe, nói, đọc, viết)', 'Có kinh nghiệm soạn thảo tài liệu và các công cụ vẽ sơ đồ', 'Ưu tiên có kiến thức triển khai dự án theo mô hình Agile/Scrum', 'Có chứng chỉ BA là một lợi thế', 'Có tư duy logic tốt', 'Ưu tiên có kinh nghiệm trong lĩnh vực booking, đặc biệt là đặt vé máy bay, khách sạn, tour và transportation', 'Lương cạnh tranh, xứng đáng với năng lực đóng góp.', 'Performance review: 2 lần/năm.', 'BHXH theo nhà nước', 'Làm việc từ thứ 2 đến thứ 6, nghỉ t7 và CN', 'Hưởng các chế độ, phúc lợi như: Thưởng lễ tết, thưởng dự án, extra; 12 ngày phép năm; Phúc lợi và phụ cấp khác', 'Du lịch hàng năm, teambuilding hàng quý', 'Làm việc trong môi trường Product cùng các chuyên gia trong và ngoài nước', 'Được tham gia các khóa đào tạo về tiếng anh hàng tuần', 'Cùng nghiên cứu và thử thách với những công nghệ mới và các hot tech trend trên thế giới thông qua các buổi training hoặc các cuộc thi nội bộ và có phần thưởng cho các cuộc thi này', 'Được tư vấn và chia sẻ về phát triển năng lực và nghề nghiệp bản thân.', 'Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm.', 'Môi trường làm việc toàn cầu, văn hóa đa quốc gia, tôn trọng phát triển cá nhân, công bằng và luôn khuyến khích sáng tạo để tạo nên những giá trị ""awesome"" cho công ty & cho thế giới', 'Các thành viên công ty thân thiện cởi mở, chia sẻ, giúp đỡ nhau vượt qua mọi khóa khăn trong công việc và đời sống', 'Hoa quả và bánh kẹo hàng ngày tại Công ty', 'Sử dụng miễn phí đồ uống tại khu sinh hoạt của Công ty', 'Sử dụng miễn phí mọi loại sách giá trị tại thư viện của công ty.', 'Trang thiết bị hiện đại, sẵn sàng phục vụ nhân viên mọi lúc mọi nơi', 'CLB văn hóa: Cờ vua, Cờ tướng, Game (AOE, LOL, DOTA2, PES, etc.)...', 'CLB thể thao: Cầu lông, Bơi,...']",job_82463,2 hours ago,"500 - 1,000 USD","Business Analyst (Agile, English)",/it-jobs/business-analyst-agile-english-goquo-vietnam-5624/content,"Thưởng KPI, dự án, Review lương 2 lần/ năm, no OT, Teambuilding hàng tháng, năm",2,"Business Analyst (Agile, English) GoQuo Vietnam"
3,"['Tầng 9, tháp A, Tòa nhà Sky City Tower, Số 88 Láng Hạ, phường Láng Hạ, Dong Da, Ha Noi']",VNIs,2021-05-30 16:48:36,"['Review lương 2 lần/năm', 'Teambuilding, nghỉ mát/năm', 'Được đóng BHXH, BHYT, BHTN', 'Phát triển hóa đơn điện tử và các ứng dụng trong hệ sinh thái', 'Phát triển website hóa đơn điện tử và các chức năng trên website theo phân công của trưởng nhóm.', 'Phối hợp với các phòng ban, khách hàng để làm rõ yêu cầu chức năng.', 'Sửa lỗi, thay đổi các chức năng hiện có.', 'Công việc sử dụng .NetCore 1.0 - 3.0, AngularJS, GIT.', 'Tốt nghiệp các chuyên ngành CNTT, lập trình', 'Có kiến thức lập trình sử dụng .NETCore, AngularJS, git...', 'Khả năng làm việc nhóm tốt, sẵn sàng đi công tác khi có yêu cầu.', 'Mức lương từ 10 triệu - 30 triệu, tùy theo kinh nghiệm và năng lực.', 'Review lương 2 lần/năm, tối thiểu 13 tháng lương.', 'Teambuilding, nghỉ mát hàng năm.', 'Tham gia các buổi đào tạo về chuyên môn, kỹ năng làm việc.', 'Được đóng BHXH, BHYT, BHTN theo quy định nhà nước hiện hành khi ký hợp đồng chính thức']",job_82471,3 hours ago,Up to 1500$,"Web Dev(.NET, AngularJS)- Up to 1500$",/it-jobs/web-dev-net-angularjs-up-to-1500-vnis-1929/content,"Review lương 2 lần/năm, Teambuilding, nghỉ mát/năm, Được đóng BHXH, BHYT, BHTN",3,"Web Dev(.NET, AngularJS)- Up to 1500$ VNIs"
4,"['Tòa nhà Thành Công, 80 Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi']",VIETTELIMEX ( A Member of Viettel Group),2021-05-30 16:48:37,"['Dẫn đầu thị trường', 'Cơ hội thử thách và phát triển', 'Môi trường làm việc năng động', 'Tham gia phân tích, thiết kế luồng phát triển của ứng dụng di động dựa vào yêu cầu của khách hàng.', 'Tham gia phát triển ứng dụng di động trên nền tảng React Native phục vụ các bài toán trong lĩnh vực: Kinh doanh viễn thông, quản lý hạ tầng viễn thông, quản trị doanh nghiệp, tài chính ngân hàng.', 'Đánh giá, phân tích, nâng cấp và tối ưu mã nguồn trong quá trình phát triển.', 'Nghiên cứu các công nghệ mới để áp dụng trong các dự án hiện tại và tương lai.', 'Tham gia đưa ra những ý tưởng, giải pháp mới cải thiện công việc cũng như góp phần tăng doanh thu cho công ty', 'Ít nhất 01 năm kinh nghiệm phát triển ứng dụng di động React Native sử dụng ngôn ngữ lập trình javaScript bao gồm ES6,7,TypeScript.', 'Có kinh nghiệm về vòng đời ứng dụng Reac tNative, sử dụng thành thạo các componet của React, có hiểu biết Redux/ Redux Saga, Redux Thunk.UnitTest.', 'Có kinh nghiệm làm việc về các thư viện như Google Map, FaceBookSDK, Google SDK. Tích hợp các cổng thanh toán lớn là một lợi thế.', 'Sử dụng thành thạo một trong các CSDL Realm, SQLite, Firebase', 'Có kinh nghiệm lập trình ứng dụng native sử dụng Android (Kotlin, Java)', 'Có kinh nghiệm tích hợp các RESTful API, Web service, Web socket,Firebase và các SDK, thư viện trong quá trình phát triển ứng dụng.', 'Có kiến thức về cấu trúc dữ liệu, giải thuật, lập trình hướng đốitượng.', 'Thành thạo sử dụng Git/SVN để quản lý mã nguồn.', 'Có kinh nghiệm test, debug và tối ưu hiệu năng cho ứng dụng.', 'Có kinh nghiệm làm việc, quản lý nhóm sử dụngAgile/Scrum.', 'Có kinh nghiệm sử dung và làm việc với các hệ quản trị CSDL như Oracle, MySQL, Maria DB, MS SQL là một lợi thế.', 'Có kinh nghiệm phân tích, thiết kế UI/UX cho nền tảng di động sử dụng Adobe XD, Figma, Sketch, Invision, Balsamiq là một lợi thế', 'Mức lương từ 15 - 40 triệu đồng (thỏa thuận theo kinh nghiệm và năng lực)', 'Có chế độ hỗ trợ tiền điện thoại và ăn trưa, nghỉ mát hàng năm; kèm theo là các khoản thưởng vào các dịp lễ lớn (30/4, 1/5, 2/9, 22/12 ngày thành lập Tập đoàn, Tết Dương/Âm)', 'Chế độ phúc lợi theo tiêu chuẩn của nhà nước.', 'Các phúc lợi phi tài chính khác.']",job_82470,4 hours ago,"750 - 1,400 USD","Mobile Dev (ReactNative, Android)",/it-jobs/mobile-dev-android-ios-react-native-viettelimex-a-member-of-viettel-group-5233/content,"Dẫn đầu thị trường, Cơ hội thử thách và phát triển, Môi trường làm việc năng động",4,"Mobile Dev (ReactNative, Android) VIETTELIMEX ( A Member of Viettel Group)"
5,"['Tòa nhà Thành Công, 80 Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi']",VIETTELIMEX ( A Member of Viettel Group),2021-05-30 16:48:37,"['Môi trường làm việc năng động, sáng tạo.', 'Cơ hội thử thách và phát triển', 'Chế độ đãi ngộ hướng cạnh tranh so với thị trường', 'Tham gia nghiên cứu, phân tích hành vi, và thiết kế trải nghiệm người dùng cho các dự án của công ty.', 'Thực hiện thiết kế giao diện người dùng cho các ứng dụng Web, Mobile.', 'Thực hiện dựng giao diện prototype cho các ứng dụng Web, Mobile.', 'Nghiên cứu các xu hướng thiết kế giao diện, trải nghiệm người dùng mới để áp dụng trong các dự án hiện tại và tương lai.', 'Thực hiện thiết kế các ấn phẩm, quảng cáo cho dịch vụ của công ty.', 'Có kinh nghiệm trong phân tích, thiết kế giao diện và trải nghiệm người dùng cho các ứng dụng Web, Mobile;', 'Có nhiều kỹ năng về visual design như màu sắc, hiệu ứng, icon, typography, flat design, material design…', 'Có kinh nghiệm về HTML/CSS/Javascript, Responsive design là một lợi thế;', 'Thành thạo các công cụ thiết kế đồ họa như Adobe Illustrator, Adobe Photoshop, Adobe XD, Sketch, Zeplin, Figma, Invision;', 'Thành thạo các công cụ thiết kế Animation như After Effects, Adobe Premiere, Proto.io, Principle;', 'Có kinh nghiệm phát triển các ấn phẩm truyền thông như flyer, poster, video;', 'Có kiến thức về lập trình Web, Mobile là một lợi thế.', 'Mức lương\xa0thỏa thuận theo kinh nghiệm và năng lực', 'Có chế độ hỗ trợ tiền điện thoại và ăn trưa, nghỉ mát hàng năm; lương tháng 13; kèm theo là các khoản thưởng vào các dịp lễ lớn (30/4, 1/5, 2/9, 22/12 ngày thành lập Tập đoàn, Tết Dương/Âm…)', 'Chế độ phúc lợi theo tiêu chuẩn của nhà nước.', 'Các phúc lợi phi tài chính khác.']",job_82437,5 hours ago,You'll love it,UI-UX Designer,/it-jobs/ui-ux-designer-viettelimex-a-member-of-viettel-group-3448/content,,5,UI-UX Designer VIETTELIMEX ( A Member of Viettel Group)
6,"['Phòng 511 tầng 5 tòa nhà Toyota Mỹ Đình, số 15 Phạm Hùng, phường Mỹ Đình 2, Nam Tu Liem, Ha Noi']",BlueBottle Digital Việt Nam,2021-05-30 16:48:37,"['Develop, design and functional interface software (web app)', 'Design layout, UI, UX for mobile applications', 'Design background, icon, logo for mobile apps and marketing materials', 'Providing design documentation for development team', 'Participate in the development of product: work on image design for the development team', 'Get ideas, requests from the project manager, outlined on the interface', 'Update the new design trends, offering innovative design ideas', 'At least 2 years experiences', 'Knowledge of art including: layout, color scheme, font', 'Proficiency with design softwares: PS, AI, XD, …', 'Have good experience in User Interface Design (UI) and User Experience Design (UX)', 'Have good design thinking, creativity', 'Familiar with mobile applications, best practices in mobile apps designs/UX solutions', 'Speaks and writes English is a plus', 'Attractive monthly salary with allowances, 13th month salary and additional performance bonus for excellent performance.', 'Macbook pro with big extended monitor provided.', 'Full package of insurances regulated by the Labor Code and additional Bao Minh health care and accident insurance.', 'Annual company trip and teambuilding activities in permanence.', 'Western management style: professional, dynamic, open minded, creative, supportive, friendly, and encouraged for feedback.', 'Lunch allowance and cafeteria inside office.']",job_82436,5 hours ago,Up to $1000,UI-UX Designer - Up to $1000,/it-jobs/ui-ux-designer-up-to-1000-bluebottle-digital-viet-nam-3640/content,,6,UI-UX Designer - Up to $1000 BlueBottle Digital Việt Nam
7,"['152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi']",Advesa Digital Solutions,2021-05-30 16:48:38,"['Flexible working time', 'International environment', 'Attractive salary & benefits', 'Create and maintain organized and efficient data models & APIs', 'Back end programming following software development life cycle', 'Develop and document tasks', 'Perform code reviews', 'Document internal and external source code', 'Automatic and manual testing', 'Troubleshoot deployed applications', 'Collaborate with a variety of departments within the organization to design, build, test, and ship high-quality software', 'Other duties as assigned', 'Chance to work in an international team and professional working environment', 'Training and career development opportunities', 'Performance review every 6 months', 'Open, supportive and collaborative culture', 'Flexible working hours with 40 hours per week (Monday – Friday)', 'Lunch allowance and free drinks (coffee, tea, snack …)', 'Premium health insurance package', 'Paid leave (12 days/year)', 'Free English class for everyone 2 lessons per week', 'Sponsor the fee of getting certificates for each team', '13month salary bonus']",job_82415,5 hours ago,You'll love it,"Senior Python Dev (SQL, Django)",/it-jobs/senior-python-dev-sql-django-advesa-digital-solutions-5331/content,"Flexible working time, International environment, Attractive salary & benefits",7,"Senior Python Dev (SQL, Django) Advesa Digital Solutions"
8,"['152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi']",Advesa Digital Solutions,2021-05-30 16:48:38,"['Flexible working time', 'International environment', 'Attractive salary & benefits', 'Designing and implementing new features and functionality', 'Build new WordPress pages from provided designs in a timely manner', 'Build WordPress plugins as needed by customers', 'Develop custom WordPress themes and functionalities with PHP', 'Maintain, update and troubleshoot WordPress websites', 'Work independently to create/verify project scopes and provide web development timelines.', 'Carry out assignments with the ability to successfully work under pressure and meet deadlines.', 'At least 4 years of experience working with WordPress, JavaScript, HTML5 and CSS3', 'WordPress expertise, including plugins and 3rd party marketplace, with demonstrated experience in custom theme development and management of core and custom modules.', 'Strong understanding of PHP back-end development', 'Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery', 'Comfortable working with debugging tools like Firebug, Chrome dev tools, etc.', 'Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers', 'Ability to convert comprehensive layout and wireframes into working HTML pages', 'Knowledge of how to interact with RESTful APIs and formats (JSON, XML)', 'Proficient understanding of code versioning tools {{such as Git, SVN, and Mercurial}}', 'Chance to work in an international team and professional working environment', 'Training and career development opportunities', 'Performance review every 6 months', 'Open, supportive and collaborative culture', 'Flexible working hours with 40 hours per week (Monday – Friday)', 'Lunch allowance and free drinks (coffee, tea, snack …)', 'Premium health insurance package', 'Paid leave (12 days/year)', 'Free English class for everyone 2 lessons per week', 'Sponsor the fee of getting certificates for each team', '13month salary bonus']",job_82423,5 hours ago,You'll love it,PHP Wordpress Dev (HTML/CSS/JavaScript),/it-jobs/php-wordpress-dev-html-css-javascript-advesa-digital-solutions-0632/content,"Flexible working time, International environment, Attractive salary & benefits",8,PHP Wordpress Dev (HTML/CSS/JavaScript) Advesa Digital Solutions
9,"['Tầng 14, 444 Hoàng Hoa Thám, Thụy Khuê, Tay Ho, Ha Noi', '2 Quang Trung, Hai Chau, Da Nang']",Ruby Development Vietnam,2021-05-30 16:48:39,"['Cơ hội trở thành thành viên chủ chốt', 'Môi trường trẻ, nhiều cơ hội thăng tiến', 'Cơ hội phát triển chuyên môn cao qua các dự án', 'Lập trình Ruby on Rails tuỳ yêu cầu của từng dự án.', 'Thực hiện thiết kế, coding, unit test các dự án cho khách hàng Nhật.', 'Tham gia vào tất cả các khâu trong quá trình phát triển phần mềm gồm: phân tích, thiết kế, tìm hiểu công nghệ, coding, test và maintain...', 'Tương tác với các thành viên trong nhóm và khách hàng theo điều phối của Manager.', 'Báo cáo công việc cho Manager', 'Từ 2-3 năm kinh nghiệm trở lên làm việc với Ruby, Ruby on rails, JavaScript', 'Có kinh nghiệm về MySQL', 'Có kinh nghiệm với một trong các Framework Javascript hiện đại: Angular 1/2, React.js, Vue.js', 'Hiểu biết về MVC, ORM, RESTful, OOP', 'Kiến thức tốt về kiểm thử phần mềm, kiểm thử tự động hóa (Rspec, Capybara)', 'Có kinh nghiệm với HTML/CSS, Responsive web', 'Kỹ năng đọc tiếng Anh khá', 'Kỹ năng làm việc nhóm tốt', 'Có kinh nghiệm làm việc trong\xa0quy trình phát triển Agile', 'Làm quen với PostgreSQL,\xa0MongoDB, Dịch vụ web Amazon, GitLab, CircleCI, CodeClimate', 'Mức lương hấp dẫn upto 1500$', 'Làm việc với các khách hàng, tập đoàn hàng đầu Nhật bản.', 'Có thể luân chuyển công tác sang Nhật từ 2-12 năm tại Head Office và các chi nhánh của Ruby.', 'Trở thành những kỹ sư hàng đầu về Ruby để tiếp tục đào tạo và hướng dẫn thế hệ tiếp theo.', 'Thưởng tháng lương thứ 13.', 'Thực hiện xét tăng lương 2 lần trên năm', 'Trợ cấp xăng xe, ăn trưa, nhà ở, các phúc lợi khác trong năm.', 'Chế độ nghỉ phép và bảo hiểm theo Luật lao động.', 'Khám sức khỏe định kỳ hằng năm', 'Cơ hội thăng tiến rõ ràng và trở thành thành viên chủ chốt.', 'Tham gia các dự án trọng điểm cùng đội ngũ kỹ sư chuyên nghiệp', 'Tham gia các buổi seminar hàng tuần nâng cao skill bản thân', 'Làm việc từ thứ 2 đến thứ 6, thời gian bắt đầu vào làm việc từ 8-9h sáng, ngày làm đủ 8 tiếng', 'Công ty không khuyến khích OT', 'Được hưởng 2 ngày phép trong 2 tháng thử việc khi vào làm chính thức.', 'Làm việc từ 3 năm trở lên sẽ được hưởng thêm 3 ngày phép, từ 5 năm trở lên sẽ thêm 5 ngày phép', 'Du lịch công ty 1 lần/năm, các hoạt động team building và hoạt động sinh hoạt hàng tháng khác: du lịch, picnic, sinh nhật, ăn uống hàng tháng, thưởng các ngày lễ, Tết, thưởng thi đua….', 'Có nhiều cơ hội đi onsite tại Nhật Bản. Trong thời gian onsite tại Nhật Bản, ngoài lương nhận tại Việt Nam, trợ cấp sinh hoạt và toàn bộ vé máy bay, chi phí visa, đi lại, nhà trọ do công ty chi trả.', 'Môi trường làm việc trẻ trung, năng động.', 'Sếp và đồng nghiệp cực thân thiện, vuitính.']",job_82453,5 hours ago,Up to $1500,3 Ruby on Rails/JavaScript Dev (VueJS),/it-jobs/3-ruby-on-rails-javascript-dev-vuejs-ruby-development-vietnam-3954/content,,9,3 Ruby on Rails/JavaScript Dev (VueJS) Ruby Development Vietnam
